codigo,descricao
26417,"Instituto Federal de Educação, Ciência e Tecnologia da Paraíba"
26418,"Instituto Federal de Educação, Ciência e Tecnologia de Pernambuco"
26419,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Sul"
26420,"Instituto Federal de Educação, Ciência e Tecnologia Farroupilha"
26421,"Instituto Federal de Educação, Ciência e Tecnologia de Rondônia"
26422,"Instituto Federal de Educação, Ciência e Tecnologia Catarinense"
26423,"Instituto Federal de Educação, Ciência e Tecnologia de Sergipe"
26424,"Instituto Federal de Educação, Ciência e Tecnologia do Tocantins"
26425,"Instituto Federal de Educação, Ciência e Tecnologia do Acre"
26426,"Instituto Federal de Educação, Ciência e Tecnologia do Amapá"
26427,"Instituto Federal de Educação, Ciência e Tecnologia da Bahia"
26428,"Instituto Federal de Educação, Ciência e Tecnologia de Brasília"
26429,"Instituto Federal de Educação, Ciência e Tecnologia de Goiás"
26430,"Instituto Federal de Educação, Ciência e Tecnologia do Sertão de Pernambuco"
26431,"Instituto Federal de Educação, Ciência e Tecnologia do Piauí"
26432,Instituto Federal do Paraná
26433,"Instituto Federal de Educação, Ciência e Tecnologia do Rio de Janeiro"
26434,"Instituto Federal de Educação, Ciência e Tecnologia Fluminense"
26435,"Instituto Federal de Educação, Ciência e Tecnologia do Rio Grande do Norte"
26436,"Instituto Federal de Educação, Ciência e Tecnologia Sul-rio-grandense"
26437,"Instituto Federal de Educação, Ciência e Tecnologia de Roraima"
26438,"Instituto Federal de Educação, Ciência e Tecnologia de Santa Catarina"
26439,"Instituto Federal de Educação, Ciência e Tecnologia de São Paulo"
26440,Universidade Federal da Fronteira Sul
26441,Universidade Federal do Oeste do Pará
26442,Universidade da Integração Internacional da Lusofonia Afro-Brasileira
26443,Empresa Brasileira de Serviços Hospitalares
26445,CODIGO INVALIDO
26447,Universidade Federal do Oeste da Bahia
26448,Universidade Federal do Sul e Sudeste do Pará
26449,Universidade Federal do Cariri
26450,Universidade Federal do Sul da Bahia
26452,Universidade Federal de Catalão
26453,Universidade Federal de Jataí
26454,Universidade Federal de Rondonópolis
26455,Universidade Federal do Delta do Parnaíba
26456,Universidade Federal do Agreste de Pernambuco
26457,Universidade Federal do Norte do Tocantins
26620,CODIGO INVALIDO
26801,Secretaria de Educação Básica
26802,Subsecretaria de Assuntos Administrativos/MEC
26812,CODIGO INVALIDO
27000,CODIGO INVALIDO
27201,Fundação Habitacional do Exército
28000,"Ministério do Desenvolvimento, Indústria, Comércio e Serviços - Unidades com vínculo direto"
28500,Fundo de Garantia para a Promoção da Competitividade
28501,Fundo Nacional de Desestatização
28801,"Subsecretaria de Planejamento, Orçamento e Administração/MDIC"
28904,Fundo de Garantia para a Promoção da Competitividade
29000,Defensoria Pública da União - Unidades com vínculo direto
29201,Departamento Nacional de Estradas de Rodagem
29202,Companhia de Navegação do São Francisco - em liquidação
29203,Empresa Brasileira de Planejamento de Transportes - em liquidação
29204,Empresa de Navegação da Amazônia S.A.
29205,Empresa de Trens Urbanos de Porto Alegre
29207,Serviço de Navegação da Bacia do Prata S.A.
29208,Companhia de Pesquisa de Recursos Minerais
29209,"VALEC Engenharia, Construções e Ferrovias S.A."
29214,Companhia Brasileira de Trens Urbanos
30000,Ministério da Justiça e Segurança Pública - Unidades com vínculo direto
30001,CODIGO INVALIDO
30101,CODIGO INVALIDO
30108,Polícia Federal
30201,Radiobrás Empresa Brasileira de Comunicação S.A.
30202,Fundação Nacional dos Povos Indígenas
30203,"Instituto Nacional de Metrologia, Qualidade e Tecnologia"
30204,Instituto Nacional da Propriedade Industrial
30205,Fundação Nacional do Índio - Patrimônio Indígena
30211,Conselho Administrativo de Defesa Econômica
30212,Autoridade Nacional de Proteção de Dados
30403,CODIGO INVALIDO
30801,Departamento de Polícia Federal
30802,Polícia Rodoviária Federal
30803,"Subsecretaria de Planejamento, Orçamento e Administração/MJ"
30905,Fundo de Defesa de Direitos Difusos
30907,Fundo Penitenciário Nacional
30909,Fundo para Aparelhamento e Operacionalização das Atividades Fim da Polícia Federal
30911,Fundo Nacional de Segurança Pública
30912,Fundo Nacional Antidrogas
30913,Fundo Nacional para a Criança e o Adolescente
30914,Fundo Nacional do Idoso
31280,Caixa de Construções de Casas para o Pessoal da Marinha do Brasil
32000,Ministério de Minas e Energia - Unidades com vínculo direto
32131,CODIGO INVALIDO
32201,Centro de Pesquisas de Energia Elétrica
32203,CODIGO INVALIDO
32205,"Agência Nacional do Petróleo, Gás Natural e Biocombustíveis"
32210,Agência Nacional de Energia Elétrica
32263,Departamento Nacional de Produção Mineral
32314,Empresa de Pesquisa Energética
32396,Agência Nacional de Mineração
32397,CODIGO INVALIDO
32801,"Subsecretaria de Planejamento, Orçamento e Administração/MME"
